date, pm25
2020/10/27, 121
2020/10/28, 139
2020/10/29, 127
2020/10/30, 113
2020/10/31, 104
2020/11/1, 113
2020/11/2, 126
2020/11/3, 114
2020/11/4, 121
2020/11/5, 132
2020/11/6, 124
2020/11/7, 122
2020/11/8, 112
2020/11/9, 107
2020/11/10, 109
2020/7/1, 161
2020/7/2, 155
2020/7/3, 144
2020/7/4, 146
2020/7/5, 153
2020/7/6, 144
2020/7/7, 155
2020/7/8, 160
2020/7/9, 159
2020/7/10, 154
2020/7/11, 151
2020/7/12, 144
2020/7/13, 142
2020/7/14, 157
2020/7/15, 161
2020/7/16, 138
2020/7/17, 139
2020/7/18, 120
2020/7/19, 129
2020/7/20, 160
2020/7/21, 156
2020/7/22, 166
2020/7/23, 162
2020/7/24, 168
2020/7/25, 163
2020/7/26, 160
2020/7/27, 167
2020/7/28, 163
2020/7/29, 156
2020/7/30, 155
2020/7/31, 157
2020/8/1, 148
2020/8/2, 150
2020/8/3, 149
2020/8/4, 148
2020/8/5, 156
2020/8/6, 163
2020/8/7, 149
2020/8/8, 155
2020/8/9, 150
2020/8/10, 157
2020/8/11, 147
2020/8/12, 159
2020/8/13, 138
2020/8/14, 160
2020/8/15, 144
2020/8/16, 163
2020/8/17, 167
2020/8/18, 152
2020/8/19, 119
2020/8/20, 153
2020/8/21, 104
2020/8/22, 135
2020/8/23, 146
2020/8/24, 149
2020/8/25, 160
2020/8/26, 140
2020/8/27, 152
2020/8/28, 146
2020/8/29, 155
2020/8/30, 123
2020/8/31, 131
2020/9/1, 133
2020/9/2, 148
2020/9/3, 152
2020/9/4, 156
2020/9/5, 151
2020/9/6, 144
2020/9/7, 129
2020/9/8, 124
2020/9/9, 133
2020/9/10, 136
2020/9/11, 159
2020/9/12, 127
2020/9/13, 127
2020/9/14, 139
2020/9/15, 142
2020/9/16, 145
2020/9/17, 136
2020/9/18, 156
2020/9/19, 152
2020/9/20, 123
2020/9/21, 128
2020/9/22, 125
2020/9/23, 136
2020/9/24, 143
2020/9/25, 127
2020/9/26, 122
2020/9/27, 122
2020/9/28, 125
2020/9/29, 131
2020/9/30, 124
2020/4/3, 106
2020/4/4, 93
2020/4/5, 102
2020/4/6, 99
2020/4/7, 89
2020/4/8, 91
2020/4/9, 108
2020/4/10, 89
2020/4/11, 86
2020/4/12, 97
2020/4/13, 132
2020/4/14, 92
2020/4/15, 83
2020/4/16, 106
2020/4/17, 103
2020/4/18, 89
2020/4/19, 91
2020/4/20, 99
2020/4/21, 119
2020/4/22, 125
2020/4/23, 88
2020/4/24, 122
2020/4/25, 108
2020/4/26, 88
2020/4/27, 92
2020/4/28, 94
2020/4/29, 82
2020/4/30, 79
2020/5/1, 81
2020/5/2, 88
2020/5/3, 98
2020/5/4, 100
2020/5/5, 111
2020/5/6, 102
2020/5/7, 88
2020/5/8, 91
2020/5/9, 97
2020/5/10, 94
2020/5/11, 94
2020/5/12, 87
2020/5/13, 105
2020/5/14, 95
2020/5/15, 96
2020/5/16, 85
2020/5/17, 89
2020/5/18, 103
2020/5/19, 101
2020/5/20, 109
2020/5/21, 93
2020/5/22, 91
2020/5/23, 125
2020/5/24, 100
2020/5/25, 104
2020/5/26, 118
2020/5/27, 127
2020/5/28, 141
2020/5/29, 141
2020/5/30, 143
2020/5/31, 116
2020/6/1, 125
2020/6/2, 131
2020/6/3, 124
2020/6/4, 130
2020/6/5, 145
2020/6/6, 137
2020/6/7, 135
